Date;Open;High;Low;Close;Adj Close;Volume
11.10.2022;220.949997;225.750000;215.000000;216.500000;216.500000;77013200
12.10.2022;215.330002;219.300003;211.509995;217.240005;217.240005;66860700
13.10.2022;208.300003;222.990005;206.220001;221.720001;221.720001;91483000
14.10.2022;224.009995;226.259995;204.160004;204.990005;204.990005;94124500
17.10.2022;210.039993;221.860001;209.449997;219.350006;219.350006;79428800
18.10.2022;229.500000;229.820007;217.250000;220.190002;220.190002;75891900
19.10.2022;219.800003;222.929993;217.779999;222.039993;222.039993;66571500
20.10.2022;208.279999;215.550003;202.000000;207.279999;207.279999;117798100
21.10.2022;206.419998;214.660004;203.800003;214.440002;214.440002;75713800
24.10.2022;205.820007;213.500000;198.589996;211.250000;211.250000;100446800
25.10.2022;210.100006;224.350006;210.000000;222.419998;222.419998;96507900
26.10.2022;219.399994;230.600006;218.199997;224.639999;224.639999;85012500
27.10.2022;229.770004;233.809998;222.850006;225.089996;225.089996;61638800
28.10.2022;225.399994;228.860001;216.350006;228.520004;228.520004;69152400
31.10.2022;226.190002;229.850006;221.940002;227.539993;227.539993;61554300
01.11.2022;234.050003;237.399994;227.279999;227.820007;227.820007;62688800
02.11.2022;226.039993;227.869995;214.820007;214.979996;214.979996;63070300
03.11.2022;211.360001;221.199997;210.139999;215.309998;215.309998;56538800
04.11.2022;222.600006;223.800003;203.080002;207.470001;207.470001;98622200
07.11.2022;208.649994;208.899994;196.660004;197.080002;197.080002;93916500
08.11.2022;194.020004;195.199997;186.750000;191.300003;191.300003;128803400
09.11.2022;190.779999;195.889999;177.119995;177.589996;177.589996;127062700
10.11.2022;189.899994;191.000000;180.029999;190.720001;190.720001;132703000
11.11.2022;186.000000;196.520004;182.589996;195.970001;195.970001;114403600
14.11.2022;192.770004;195.729996;186.339996;190.949997;190.949997;92226600
15.11.2022;195.880005;200.820007;192.059998;194.419998;194.419998;91293800
16.11.2022;191.509995;192.570007;185.660004;186.919998;186.919998;66567600
17.11.2022;183.960007;186.160004;180.899994;183.169998;183.169998;64336000
18.11.2022;185.050003;185.190002;176.550003;180.190002;180.190002;76048900
21.11.2022;175.850006;176.770004;167.539993;167.869995;167.869995;92882700
22.11.2022;168.630005;170.919998;166.190002;169.910004;169.910004;78452300
23.11.2022;173.570007;183.619995;172.500000;183.199997;183.199997;109536700
25.11.2022;185.059998;185.199997;180.630005;182.860001;182.860001;50672700
28.11.2022;179.960007;188.500000;179.000000;182.919998;182.919998;92905200
29.11.2022;184.990005;186.380005;178.750000;180.830002;180.830002;83357100
30.11.2022;182.429993;194.759995;180.630005;194.699997;194.699997;109186400
01.12.2022;197.080002;198.919998;191.800003;194.699997;194.699997;80046200
02.12.2022;191.779999;196.250000;191.110001;194.860001;194.860001;73645900
